,Unnamed: 0,Unnamed: 0.1,Rowid,Timestamp,Anonymized_Vehicle_number,Vehicle_type,Unnamed: 0.2,Number_of_axles,Tollplaza_id,Tollplaza_code,Unnamed: 0.3,Type of Payment code,Vehicle Code
0,0,0,1,Thu Aug 19 21:54:38 2021,125094,CAR,0,125094,4856,PC7C042B7,0,2021,125094.0
1,1,1,2,Sat Jul 31 04:09:44 2021,174434,CAR,1,174434,4154,PC2C2EF9E,1,2021,174434.0
2,2,2,3,Sat Aug 14 17:19:04 2021,8538286,CAR,2,8538286,4070,PCEECA8B2,2,2021,8538286.0
3,3,3,4,Mon Aug  2 18:23:45 2021,5521221,CAR,3,5521221,4095,PC3E1512A,3,18:23:45,2021.0
4,4,4,5,Thu Jul 29 22:44:20 2021,3267767,CAR,4,3267767,4135,PCC943ECD,4,2021,3267767.0
5,5,5,6,Sat Aug 14 03:57:47 2021,8411850,CAR,5,8411850,4680,PCC422F4D,5,2021,8411850.0
6,6,6,7,Thu Aug 12 03:41:22 2021,6064250,CAR,6,6064250,4702,PCDBC3AC9,6,2021,6064250.0
7,7,7,8,Sun Aug 22 10:29:58 2021,6871937,VAN,7,6871937,4592,PC627AA14,7,2021,6871937.0
8,8,8,9,Fri Aug  6 14:23:08 2021,2055930,CAR,8,2055930,4100,PCC6DD8D5,8,14:23:08,2021.0
9,9,9,10,Sun Aug 15 13:43:51 2021,8775910,CAR,9,8775910,4143,PC5F47DCF,9,8775910,
10,10,10,11,Wed Aug  4 15:52:13 2021,4525747,CAR,10,4525747,4466,PC6E93A05,10,2021,4525747.0
11,11,11,12,Wed Aug 18 02:22:15 2021,5276143,VAN,11,5276143,4352,PC99B9343,11,5276143,
12,12,12,13,Thu Aug 19 16:01:02 2021,5405144,VAN,12,5405144,4574,PCC1F6F13,12,5405144,
13,13,13,14,Tue Aug  3 14:55:00 2021,9309466,CAR,13,9309466,4902,PC425C6EC,13,2021,9309466.0
14,14,14,15,Thu Aug  5 04:00:30 2021,6494070,VAN,14,6494070,4012,PCEF5C190,14,2021,6494070.0
15,15,15,16,Sun Aug  8 13:08:17 2021,4880588,CAR,15,4880588,4458,PCECEBBFA,15,2021,4880588.0
16,16,16,17,Wed Aug  4 04:56:15 2021,6964507,CAR,16,6964507,4886,PC4D892D7,16,2021,6964507.0
17,17,17,18,Sun Aug 15 11:22:44 2021,5740782,TRUCK,17,5740782,4680,PCC422F4D,17,5740782,
18,18,18,19,Fri Jul 30 11:20:47 2021,1060261,VAN,18,1060261,4899,PC4967767,18,1060261,
19,19,19,20,Sun Aug  8 21:22:56 2021,6599783,CAR,19,6599783,4855,PC03C5C15,19,2021,6599783.0
20,20,20,21,Wed Aug 11 10:33:15 2021,4573378,CAR,20,4573378,4737,PCED7EAFE,20,4573378,
21,21,21,22,Fri Aug  6 02:02:33 2021,1362666,CAR,21,1362666,4140,PC5D4821F,21,2021,1362666.0
22,22,22,23,Mon Aug  9 05:07:58 2021,9227112,CAR,22,9227112,4961,PC92C5115,22,2021,9227112.0
23,23,23,24,Fri Aug 13 18:21:04 2021,1245885,CAR,23,1245885,4148,PCDFBBEBB,23,1245885,
24,24,24,25,Thu Aug 12 01:36:28 2021,6702238,CAR,24,6702238,4630,PCA26D872,24,6702238,
25,25,25,26,Wed Aug 11 04:05:21 2021,7598066,CAR,25,7598066,5003,PCAC9371E,25,7598066,
26,26,26,27,Sun Aug  8 19:09:41 2021,2959560,CAR,26,2959560,4243,PCC4F7DCE,26,2021,2959560.0
27,27,27,28,Sun Aug  1 02:04:42 2021,9223690,CAR,27,9223690,4023,PC77793DF,27,2021,9223690.0
